名称,UP主,IP地址,视频摘要,网站,时间,观看次数,点赞数,收藏数,投币数,转发数
生活中，我时常觉得自己有一些超能力,papi酱,北京,有点监视我生活了,https://b23.tv/BV17u4y157Jv,2023.11.20,2961438,237946,6652,11520,5371
薛定谔的胖铁盒,幾加乘,广东,小馋猫历险记,https://b23.tv/BV1yC4y1m7Ur,2023.11.20,1472399,174691,25285,54309,19113
【罗翔】张三弄虚作假却风生水起，做真好人真难！经验世界无法给人自洽，我们该怎么办？,罗翔说刑法,北京,不如像清风明月一样做好自己,https://b23.tv/BV1k94y1V7vV,2023.11.20,1673317,164515,20025,33881,6769
完美解决祖父悖论！究极烧脑的悬疑科幻《前目的地》,培根悖论唠唠嗑,北京,爱上自己、生下自己、杀死自己的烧脑设定,https://b23.tv/BV1mC4y1m7Cz,2023.11.20,2871329,100805,55162,19530,8622
《掠影纷争》首曝PV | 向世界挥拳,掠影纷争,上海,做自己的英雄，向世界挥拳,https://b23.tv/BV1rv411F7QD,2023.11.20,1681843,16232,4682,2804,3782
【BA】钢铁侠大战美国队长！谁才是对的？！万字解析《美国队长3：内战》！,BuriedAlien,韩国,显微镜级别的美队3解读！,https://b23.tv/BV1hN4y1m7JS,2023.11.20,1517947,78902,25778,52059,2706
大胆点，向前跑，我们的青春本该热烈。,大圆哥_,河南,趁着年轻勇敢去做吧,https://b23.tv/BV1uz4y1A71h,2023.11.20,3738097,290600,39553,110159,10766
这是史上最会玩梗的游戏作者（,二控_,上海,这是什么宝藏游戏？,https://b23.tv/BV1fw411A7S9,2023.11.20,1384621,35460,6834,1851,680
《重返未来：1999》1.5版本PV：复兴！乌卢鲁运动会,重返未来1999,广东,从交叠的指缝中，火光重新燃起,https://b23.tv/BV1PG411D7nH,2023.11.20,2108539,75262,14470,23342,18169
花120w在韩国变美，结果丑到容貌焦虑…,小桑菜奈,浙江,韩国妆造真有那么神吗？,https://b23.tv/BV1eC4y1j7ya,2023.11.20,2274859,51606,24073,5673,1134
拥有我你就能拥有...,铃乃Chan,河南,百变声线,https://b23.tv/BV1cv411c7yk,2023.11.20,1031740,150150,19679,15070,3513
在 我 这 呐,頹男,河北,好活当赏,https://b23.tv/BV1Vj411J7PE,2023.11.20,2988512,230775,33615,42327,15306
动态视频｜我们用记忆金属做了一盆花...,老师好我叫何同学,浙江,遇热绽放的金属花能有多美？,https://b23.tv/BV1gN411M7kh,2023.11.20,6505150,1089701,151158,113477,27921
美的不真实…这是在动漫里跳舞吗！？,-小D-biu,重庆,绝美水中舞蹈,https://b23.tv/BV1xG411D7tt,2023.11.20,715780,37709,10490,8369,1104
【吸奇侠】第一奇书《金瓶梅》01 天饼星的陨落,吸奇侠,广东,减一分风月，添三分风趣，第一奇书奇在哪？,https://b23.tv/BV1hw411H79u,2023.11.20,1725152,86283,31208,36048,8873
【影史上100个关于窗的镜头】“或许生活难免落俗，但浪漫至死不渝。”,白日妄想家,广东,100个关于窗户的经典镜头,https://b23.tv/BV1Jj411J75b,2023.11.20,830904,98370,81882,24751,5098
对象家人出车祸了也会先陪我吃完火锅？,蜡笔小坨恰恰恰,重庆,有才UP，在线问诊！,https://b23.tv/BV1iu4y1b7Zb,2023.11.20,3158021,181947,31987,99475,29836
做了一个夜里看恐怖片不害怕的地下钢铁安全屋,手工耿,河北,就算世界末日来了也不害怕的安全屋,https://b23.tv/BV19w411T7pk,2023.11.13,16721241,1377699,315131,1010057,207837
《原神》剧情PV-「轻涟」,原神,上海,守护最好的芙芙,https://b23.tv/BV1Jg4y197YW,2023.11.13,14959798,664966,371632,551417,126758
三国灭爸为什么活不长？【小约翰】,小约翰可汗,江苏,吕布如何走上英雄神坛，又为何如此短命,https://b23.tv/BV16a4y1Q7by,2023.11.13,8147485,503466,80161,110097,17780
树：讲真的，我已经不在乎那条虫子了！,幸运猎手,四川,《节 奏 大 师》,https://b23.tv/BV1794y1G7Y5,2023.11.13,18391851,898883,287389,86082,77378
【罗翔】看我被“白头”，很多亲友发来慰问，还有对错真假吗？,罗翔说刑法,北京,侵权行为是否成立还是要看当事人的态度,https://b23.tv/BV1QN4y1U7u2,2023.11.13,8033280,460373,49503,96227,13841
复刻全球最受欢迎炸鸡，每年卖出上亿份，到底有多好吃？,大碗拿铁,美国,复刻全美排名第一的炸鸡,https://b23.tv/BV1aM411D7g5,2023.11.13,6199445,327898,86527,90196,14778
《崩坏：星穹铁道》藿藿角色PV——「回魂夜」,崩坏星穹铁道,上海,被尾巴附体的藿藿也太帅了吧,https://b23.tv/BV1mj411E7eB,2023.11.13,6069977,310222,84875,110613,66419
带你去山西看穿越千年的日出，vivo X100系列挑战长长长长长焦拍太阳,vivo,广东,全国最多的古建筑留存的省份——山西,https://b23.tv/BV1Eu411F7qQ,2023.11.13,6278830,120271,11652,8288,5095
能给人急死,高斯Goh,上海,一起搭积木,https://b23.tv/BV1nj411a7Cz,2023.11.13,7848346,297534,84469,101548,4030
当名台词有了回应2,变相怪杰Mask,山东,新概念新三国,https://b23.tv/BV1yC4y1U7HM,2023.11.13,7664203,359691,143698,132352,59509
aespa《Drama》MV,SMTOWN,韩国,熟悉的吒味！,https://b23.tv/BV1Se411X7d4,2023.11.13,5836837,187034,94210,81239,68398
「正经向」宅男们一起跳了！💢肃清！萝莉神安魂曲💢,宅男街舞队_RAB,上海,重新定义正经向（doge,https://b23.tv/BV1iw411N78K,2023.11.13,3506825,389233,110010,139918,70081
《甄嬛传》之 甄嬛的一生 (上),惊奇动物园oopspark,陕西,既抽象又形象的甄嬛前半生,https://b23.tv/BV16j411h7bN,2023.11.13,8371859,561031,181652,122389,102778
这一刻水神无愧于正义之名，芙宁娜比肩神明！【原神 / 𝗖𝗮𝗹𝗹 𝗼𝗳 𝗦𝗶𝗹𝗲𝗻𝗰𝗲】,伊零Onezero,湖北,用500年时间为枫丹争取希望,https://b23.tv/BV14u4y187Rg,2023.11.13,4130792,444939,222438,156386,35476
只有一笔钱，3岁宝宝会花给妈妈还是爸爸？,啊吗粽,上海,三岁宝宝掌握金钱大权！,https://b23.tv/BV1tz4y1P7rv,2023.11.13,1781786,89882,7017,15982,3973
[4K]来了终於来了!Red Velvet的Killing Voice现场一次听!!,Dingo_official,韩国,红毛合唱团来啦！名曲一一再现,https://b23.tv/BV19C4y127H6,2023.11.13,2382548,140498,92953,111394,36678
就算要被吃掉，也要保持微笑！,绵羊料理,上海,绵羊和宝剑嫂的北京逛吃日常,https://b23.tv/BV1bw411T7VY,2023.11.13,3865884,245892,24485,71825,7574
水的女儿，自由快乐的一天！,KKOMDA,安徽,神爱世人，芙门永存！,https://b23.tv/BV1Au411F75L,2023.11.13,3485510,309462,143741,109085,11094
9.7分封神！漫威15年最强剧诞生！洛基“故事之神”最强形态！这一集我实名吹爆,努力的Lorre,北京,《洛基》第二季大结局解析,https://b23.tv/BV1mz4y1P7xY,2023.11.13,3386989,162919,34828,36130,10426
二手玫瑰《仙儿》| 2023再见夏天工体演唱会,二手玫瑰乐队,辽宁,二手玫瑰工体接客,https://b23.tv/BV1Lu4y1b73i,2023.11.13,4535502,406733,44870,46800,19656
再见啦！谢谢你陪伴我15年...,kei和marin,日本,当陪伴15年的毛孩子离开,https://b23.tv/BV1XQ4y187cz,2023.11.13,2432073,50285,3281,9150,544
【英雄联盟】世界赛后遗症大赏,英雄联盟,上海,一起为LPL助威,https://b23.tv/BV1Qa4y1S7jr,2023.11.13,1686759,33890,1676,1163,661
天玑9300实测：vivo X100性能如何？,极客湾Geekerwan,上海,首台天玑9300的量产机——vivo X100表现如何,https://b23.tv/BV14C4y1E7Hv,2023.11.13,2914545,110448,9591,24198,23037
真的只是某一瞬间.....,熬一耶ye,辽宁,经历过的都懂,https://b23.tv/BV1uw411x7rS,2023.11.13,4399709,327839,20896,6995,23686
这让人怎么下嘴啊？,Tiger西西,陕西,好炸裂的开头,https://b23.tv/BV1Hj411h7St,2023.11.13,9782576,494295,29196,13958,9502
四大名著还是太保守了，唐僧林黛玉同步率⚡️200%⚡️,特效小哥studio,浙江,林黛玉暴打灭霸,https://b23.tv/BV1Yw411W77P,2023.11.13,4016700,195156,24858,48137,12445
一周的第一天，怎么能少得了看一集脱缰凯呢,脱缰凯Kk,辽宁,这波偷家了,https://b23.tv/BV1qQ4y187Fj,2023.11.13,8434271,340480,51853,18432,1960
背带宇宙之蒙面鸡人！！！,限时理想-背带侠,江苏,蒙面鸡人要去坤仑秘境调查什么？,https://b23.tv/BV1Qu4y1N7xb,2023.11.13,7021586,329667,128887,101010,31088
总决赛 我来咯【Shy场时刻08】,TheShy,上海,Shy哥决赛加油！,https://b23.tv/BV1HN4y1U78c,2023.11.13,1488397,121116,10094,44666,3925
降温了，是时候重温一遍了,哭天喊地六仙女,河南,这五首歌还挺好听的（doge,https://b23.tv/BV18w411T7JV,2023.11.13,4103456,303596,31320,28151,64734
轻舟已过 万重山,黄正极,广东,好惊人的画工,https://b23.tv/BV1xH4y1B7YX,2023.11.13,8074148,278297,196601,27693,2516
大师撤回了一次行骗🙏,-显眼宝-,浙江,最有道德的一集,https://b23.tv/BV1vc411X7Lc,2023.11.13,6930694,699418,34356,20676,12672
芙宁娜：谁教你这样卖东西的？,漾少侠,广东,剧情合理，不像演的,https://b23.tv/BV1E94y137u7,2023.11.13,2905498,365340,63293,17634,14696
在毛毯上薅出艾伦,咖喱芋圆儿花开富贵儿,四川,毛毯当画纸，手指当画笔,https://b23.tv/BV1X94y137YV,2023.11.13,2115368,375261,72236,150079,13882
雍正年妃·补遗：年妃去世后，又有哪些事？【雍正王朝】,正直讲史-李正Str,中国香港,年妃系列加餐,https://b23.tv/BV1xM411S73Z,2023.11.13,1110930,62313,6573,32114,945
野生的傻狍子把幼崽生到人类的菜地里然后它忘了,林中小呜,吉林,好离奇的小动物故事,https://b23.tv/BV1Dc411X76c,2023.11.13,3303784,218957,27246,55737,14902
蓝朋友找上门来，那就切磋切磋,凌云仗剑走天涯,广东,剧情和武打动作都好流畅,https://b23.tv/BV1sz4y1P7h1,2023.11.13,3142382,47219,25334,18128,1586
这是个音乐游戏！！2023版,哦呼w,上海,年更来啦！,https://b23.tv/BV1ze411X7MN,2023.11.13,2873467,302525,71472,185522,15139
【T1分析】T1也有弱点？如何破解T1推线体系？,徐桑,上海,硬核解析T1的弱点,https://b23.tv/BV16v411F7q2,2023.11.13,1438444,70729,5576,32218,2597
终有up出教程了！猫猫同款水母头麻花辫教程来啦～显发量显脸小！Haerin姜海粼同款发型～,来一小碗Www,,女团干货同款发型教程,https://b23.tv/BV1yG411Q78t,2023.11.13,427799,48866,60384,4101,2762
【动画】为什么所有人都比我好？,SKYE魏,美国,当我们把目光落到别人身上，就会忽视自己的与众不同,https://b23.tv/BV1Gy4y1c71y,2023.11.06,9595019,1314355,797863,659466,88218
黑胡子Captain：You 凉席 is my 安妮女王复仇号,天亮手工,福建,好震撼的动手能力！膜拜大佬,https://b23.tv/BV1h84y1Q7Ws,2023.11.06,5578684,519232,107437,385287,23793
歌迷朋友们好，我又出歌了,papi酱,北京,说唱歌手papi限时回归,https://b23.tv/BV1z94y1V7PE,2023.11.06,5729718,626078,87357,402228,73363
苏醒的龙皇神话【水无月菌】,水无月菌,上海,好燃好燃！,https://b23.tv/BV1xe411X746,2023.11.06,4308173,259488,57666,194244,23187
《原神》角色演示-「芙宁娜：世界皆舞台」,原神,上海,原来是大明星芙芙呀,https://b23.tv/BV1ZG411X71k,2023.11.06,14326650,681519,266378,473872,131206
钢铁侠、美队确认回归！托比蜘蛛侠，金刚狼领衔主演《复联6》,努力的Lorre,北京,都回来了！,https://b23.tv/BV16Q4y1n7vm,2023.11.06,5218736,207406,23534,19256,42300
“监控”四位同事30天，我们终于揪出了电费刺客,先看评测,广东,用狼人杀的方式找电费刺客，原来电器的能耗等级这么重要吗？,https://b23.tv/BV1re411X72v,2023.11.06,4673170,250506,79171,110674,32454
【进击的巨人】高燃纸片还原团长！心脏撒撒给呦！！,纸动画-甄强,广东,高燃还原巨人名场面,https://b23.tv/BV1ra4y1D7vA,2023.11.06,4336188,487541,59951,58281,11079
【流浪地球3 | “催更版”预告】没时间了，开始吧！,电影流浪地球,福建,能不能立刻快进到2027？,https://b23.tv/BV1XM411D7b4,2023.11.06,1790947,177907,43122,56031,43916
天玑9300性能前瞻：发哥太强了！,极客湾Geekerwan,上海,一起来看这次联发科的表现如何？,https://b23.tv/BV1dQ4y1J7LC,2023.11.06,2435978,143938,18024,57436,42746
尧舜禅让 | 千古佳话？政治谎言？,木鱼水心,北京,人只能活一次，但一本历史却能给我们带来一千种人生,https://b23.tv/BV1cN4y1D7Bw,2023.11.06,3712862,316001,77034,267550,9795
唱《奢香夫人》，做气质学生,努力生活的西鱼,湖北,好听爱听！,https://b23.tv/BV1TG41197SK,2023.11.06,6718713,336106,64329,82515,22823
【刘宇宁X关大洲】一开口就是中国人心中的江湖！磁性烟嗓蕴含锋芒剑意，诸君且听《龙吟》！,网易逆水寒,广东,所有江湖偶遇，都是宿命相逢！,https://b23.tv/BV1t94y1G7A1,2023.11.06,1650027,45121,24130,22582,13250
《绝区零》降噪测试预告 | 请戴好安全帽，我们出发！,绝区零,上海,质量拉满,https://b23.tv/BV1WC4y1H75n,2023.11.06,6547642,382130,58324,95411,68153
大圣展开，坐杀博徒!,鹿云清,江西,大圣版鬼畜调音,https://b23.tv/BV1mu4y1h7zU,2023.11.06,2206720,213019,75493,37832,5213
【新英雄朵莉亚&海诺】CG《人鱼之歌》—— “今晚的烟火大会，一起去看吧”,王者荣耀,广西,王者朵莉亚人鱼之歌CG首曝！,https://b23.tv/BV1mc411d7ae,2023.11.06,5621559,181349,76429,22350,27803
你三个鸡娃儿是点家教都没得啊！,果子哥哥工作室,重庆,重庆方言动画配音,https://b23.tv/BV1Sc41197kE,2023.11.06,3436664,320139,83287,33751,48288
在家做个反重力感的悬浮边几，cup差点儿烧了～,王一工iMok,北京,自制反重力茶几,https://b23.tv/BV1NQ4y1p7DL,2023.11.06,3743921,245408,37368,9236,5718
【白嫖失败】3分钟带你感受中国超级大枪的压迫感！,含亮老师,甘肃,超长大枪舞起来,https://b23.tv/BV15C4y1H7LK,2023.11.06,3529424,383460,44825,273694,7801
【真实锐评】WBG晋级四强：打个NRG闹麻了，纠正一下 是闹进四强了！,真实电竞,辽宁,锐评WBG晋级四强,https://b23.tv/BV1qj411a7DY,2023.11.06,1032987,42518,1417,5186,1280
作者发烧55度做出来的免费游戏,某幻君,上海,一起玩治愈风的冒险解谜游戏,https://b23.tv/BV1jN411G7a5,2023.11.06,6276322,309419,168857,128609,12133
三局之内定胜负，否则……【原神MMD|素晴】,Stormz67,韩国,“既然不能让旅行者都满意，就让他都不满意吧”,https://b23.tv/BV1Ge411R7m2,2023.11.06,2714897,389653,77134,18634,8595
剧情解读【进击的巨人最终季】后篇--不负十年--完结撒花,壮烈成仁-,山东,《进击的巨人》大结局精品解析,https://b23.tv/BV1bw411s79q,2023.11.06,1858034,129334,65435,125257,16241
爆改绵羊料理！结果实在是绷不住了！！,宝剑嫂,上海,宝剑嫂改造绵羊！,https://b23.tv/BV15w411M7cb,2023.11.06,3166106,260432,27223,87668,6609
《崩坏：星穹铁道》1.5版本PV：「迷离幻夜谈」,崩坏星穹铁道,上海,怪谲诡秘之事总是不期降临......,https://b23.tv/BV1Uu4y1h7RG,2023.11.06,2886129,146500,19567,27233,9156
《剑 齿 虎》,聒噪的山海君,陕西,文明整活,https://b23.tv/BV1yz4y1A7a5,2023.11.06,1857651,107635,8986,31162,9799
【原神】夏洛蒂的普通攻击也太好玩了~,莫娜摸鱼专用,浙江,将军：给我拍的好看点,https://b23.tv/BV12Q4y1n7u6,2023.11.06,2233424,165722,19551,13589,23138
打呼噜不是病，打起来真要命,星有野,广东,欸？我没打呼噜吧,https://b23.tv/BV1aH4y1z7dr,2023.11.06,3917134,258883,26345,28055,7894
豪门黑吃黑！他们竟然合作悬疑片了！？全员反派！年度巨作《你在说谎》震撼上映！,y_黑鲨麦旋风,福建,到底什么时候上映！？,https://b23.tv/BV1nN4y1r75d,2023.11.06,1543622,161963,70787,100381,20820
UP主耗时半年多，为你讲述英国是如何从一个边缘岛国崛起为世界霸主，再到最后退缩回不列颠，这跌宕起伏的千年英国史。,周侃侃plus,浙江,呕心沥血之英国历史大合集,https://b23.tv/BV1TQ4y1n7kK,2023.11.06,2130696,154614,194465,104832,10544
【阿斗】它颠覆了以往所有吸血鬼电影！地球被吸血鬼占领，只剩5%的人类被圈养沦为食物！《嗜血破晓》,阿斗归来了,湖北,假如吸血鬼成为了世界统治者,https://b23.tv/BV1hu4y187SV,2023.11.06,2907024,89790,17457,11882,2354
【鬼谷闲谈】纤毛虫：满级单细胞生物是怎样的存在,芳斯塔芙,上海,单细胞生物居然做到了这些 ！,https://b23.tv/BV1Aw411M7ee,2023.11.06,3094732,187875,48325,42942,10968
贵妃·年氏：历史上的华妃到底什么样？【雍正王朝】,正直讲史-李正Str,天津,历史上的年妃无限美好又无限唏嘘的一生,https://b23.tv/BV1uz4y1N7uX,2023.11.06,1442841,65716,9274,31557,4161
只靠提问，找到6个人里的财务自由者!丨以假乱真1,-LKs-,北京,好新的“谁是卧底”,https://b23.tv/BV1HC4y1H7uh,2023.11.06,2902912,160491,30057,55830,29340
【战双帕弥什】万世同流 | 曲·启明角色动画短片,战双帕弥什,广东,配音太带感了！,https://b23.tv/BV1Le411X7tD,2023.11.06,1433587,53413,17381,31817,8110
醉里挑灯看剑，梦回吹角连营#辛弃疾,画客行唯一号,湖南,随便抹两下怎么就成一幅画了（doge,https://b23.tv/BV1pc411R7Yt,2023.11.06,8750869,1197447,137445,148702,17365
教你一张纸折个初音未来,鸽咕咕咕咕菜,浙江,初音未来折纸教程,https://b23.tv/BV1ye411X79s,2023.11.06,2158247,347441,173300,31310,22367
“这座无字碑，抹去她姓名，斩断她一生”【傀儡记10.0无名新娘】,颀三73,福建,不可磨灭的是记忆,https://b23.tv/BV1J84y197pA,2023.11.06,999056,91344,27872,33632,5119
严重的电路故障往往都有含金量较高的原因,城阳电工电路,山东,史上最强电工，凭一己之力拯救了一栋楼！,https://b23.tv/BV1Mu4y1J73V,2023.10.30,11332337,1484945,259655,541969,216086
史上最炫团建,小傲想睡觉,上海,员工自费团建？,https://b23.tv/BV1EN4y167uS,2023.10.30,9949255,526384,200242,315203,10048
在自己婚礼上放《大型纪录片》，五星上将麦克阿瑟倾情出演,之涵大战L大超,浙江,用自己婚礼整活有多感动？快拿走我的祝福！,https://b23.tv/BV1Tg4y1R7Sg,2023.10.30,6587715,470775,61377,196328,33057
当寄生虫感染上了寄生虫，谁能胜出？,纪录频道Nature,河南,神奇的大自然运行机制,https://b23.tv/BV1Ve41197Pq,2023.10.30,12222825,595752,213831,115953,87341
【毕导】13年过去了，我终于毕业啦！,毕导,北京,关于毕导在清华呆了13年这件事,https://b23.tv/BV19c411o7os,2023.10.30,4693793,472225,82957,248800,48156
印度公主如何成为英国特工？【硬核狠人60】,小约翰可汗,江苏,幸运又努力的女战士,https://b23.tv/BV16M411X7A6,2023.10.30,4313514,268591,42544,130449,8501
史上最打动人心的游戏，玩过的人都致郁了！,明月沧澜,湖北,超小众的魔幻现实风格游戏,https://b23.tv/BV1zN4y1k7Z1,2023.10.30,3460766,204778,79665,25467,8520
创死心里每一只小鹿,-显眼宝-,浙江,居然该死的有点甜,https://b23.tv/BV1oN411W76d,2023.10.30,6259644,580889,33097,28420,13483
「小白」关于小米 14/14 Pro 都在这了！,小白测评,湖北,小米新机实机测评,https://b23.tv/BV1nu4y1Y7XZ,2023.10.30,3410970,121728,20346,56195,20113
送盲人一只「电子导盲犬」，能代替真狗吗？！,庄子HD,陕西,电子导盲犬效果如何？,https://b23.tv/BV1AH4y197m6,2023.10.30,4160532,67272,17632,11466,1470
如何在家制造可食用餐具,嘤武罗,福建,可食用但是不溶于水的汤勺有多神奇？,https://b23.tv/BV1SN411W74G,2023.10.30,8957632,591611,102877,138188,4234
致1000年后，这是1215个人留下的信息。,影视飓风,浙江,千年以后，谁还记得我们,https://b23.tv/BV1Mc411Z7VY,2023.10.30,2173930,221108,61835,97134,15662
《白荆回廊》终极测试 | Binary Star全新单曲「偶像自白书」正式发布,白荆回廊,上海,「删除数据，删除被迫参与流行， 做个怪胎，也只做我自己。」,https://b23.tv/BV1eH4y197Rs,2023.10.30,7503203,115660,49704,57062,4129
【爆肝】挑战在一个区块里生存100天，直接挖空！,史蒂猪StevenPig,贵州,省流：被挖空了,https://b23.tv/BV1ch4y1q7Zd,2023.10.30,11087681,371570,169001,147541,6574
【2023共创之夜】完整版回放：欢迎来到王者荣耀,王者荣耀,四川,八周年生日快乐！,https://b23.tv/BV1Mj411v7Vy,2023.10.30,10136667,212477,40136,58054,8517
各地人眼中的正宗美食,粤知一二,广东,南北差异真的很好玩,https://b23.tv/BV1tH4y1r71Z,2023.10.30,6357422,379701,37606,10713,4691
两个人的恋爱其实是两个寝室的努力！,我是刘大悦le,北京,两个”军事团队“促成一场恋爱,https://b23.tv/BV17y4y1A7bX,2023.10.30,4537359,325412,26692,3196,7198
“如何征服全村的狗子”,吴木良,福建,村里的小土狗如何被征服？,https://b23.tv/BV1DN4y1k7dH,2023.10.30,5919131,341794,140276,85583,10295
《王者荣耀世界》6分钟实机演示发布-「为战斗加点恶作剧」,王者荣耀世界,四川,好炫酷的大世界！,https://b23.tv/BV1Sy4y1w7QM,2023.10.30,3508001,120912,10671,8652,54340
100块挑战东北早市，看能不能把仨战士吃饱,吃不饱仨战士,浙江,第一次看三战士面对食物无能为力,https://b23.tv/BV1ve41197Zu,2023.10.30,2768006,220465,9012,40760,7753
上课做梦打球，10秒内笑失声系列！！！,No-Solution篮球,贵州,梦游了这是？,https://b23.tv/BV1jN4y1k7e5,2023.10.30,6361716,662025,174113,48170,51886
83岁老人，一人一车骑行全国，一天一百到两百公里，直接刷新了我的认知,我是凡人繁星,甘肃,83岁老人骑行之旅,https://b23.tv/BV1ne41197CJ,2023.10.30,1585376,177734,18806,12233,9992
当父母来到你的城市,派小轩,北京,“我的眼泪从打开冰箱那儿收回来了”,https://b23.tv/BV1SQ4y1H7gQ,2023.10.30,4611744,333945,10002,9403,2618
【半佛】喜茶疯了，奶茶哭了,硬核的半佛仙人,浙江,奶茶届内卷到什么程度了？,https://b23.tv/BV1Qu4y1Y7t8,2023.10.30,2310572,83406,6703,5986,5669
因为生理羞耻，我被一群小学生嘲笑了….,拉宏桑,广东,拒绝月经羞耻,https://b23.tv/BV1Qg4y1d72Z,2023.10.30,4460468,301039,65191,163615,11320
粉墨设计师给我做衣服？！万元明星礼服随便穿,知名相声演员BBBBB大王,江苏,女团cody给BB做造型,https://b23.tv/BV1Rw411q77B,2023.10.30,1731802,80731,5731,4786,892
误入咒术片场无故加班的普通上班族,哦桑ohsan,云南,没有一刻为五条悟被封印感到悲伤，立刻赶往战场的是普通上班族,https://b23.tv/BV1zu4y1E7oH,2023.10.30,1915097,127103,26801,10105,7742
《崩坏：星穹铁道》托帕&账账角色PV——「专家教学」,崩坏星穹铁道,上海,好高超的PV技术力！,https://b23.tv/BV1kN4y1r7AL,2023.10.30,4097627,255048,51331,71031,29234
【vlog】骑着小破车去到内蒙古，找回重新开始的勇气,小缸,湖南,祝我们都有从头再来的勇气,https://b23.tv/BV19j411e71L,2023.10.30,1323600,173378,64000,281660,18282
星闪技术上手体验：万物互联的根基？,极客湾Geekerwan,上海,新一代的通信技术——星闪,https://b23.tv/BV1ec41197F6,2023.10.30,1724057,86462,12035,17501,6356
《一种新的聊天方式》,不会聊天的小七,四川,教你用音乐追债,https://b23.tv/BV1J94y1j7wH,2023.10.30,4132754,310678,39966,30502,29166
“天下一统”背后隐藏的“惊天动机”！「三国归晋」,勇敢De永,山西,乱而神秘的迷人历史故事,https://b23.tv/BV1nQ4y1H7Eb,2023.10.30,6428270,143228,55952,37741,3134
【修一j】成功把蜥蜴标本复活成了冰霜骨龙！,修一j,四川,准备好复活仪式了吗？,https://b23.tv/BV1ay4y1w7x1,2023.10.30,1898590,83125,48599,41018,4139
《明日方舟》限定干员「塑心」前瞻PV,明日方舟,上海,在终点到来之前， 请让我为您奏响我自己,https://b23.tv/BV1We41197Tc,2023.10.30,1093791,92198,15239,26614,11434
最震撼的一集！花腔吟唱《斯卡布罗集市》|“他将是我最挚爱之人”『说说Crystal·翻唱』,说说Crystal,四川,听UP的歌声可以闻到植物和花香,https://b23.tv/BV1HM411X7aT,2023.10.30,1602097,122137,81193,60923,7798
小时候听不懂…那现在呢？《其实都没有》,咻咻满,福建,年少不知曲中意，再听已是曲中人,https://b23.tv/BV1YQ4y1H7w7,2023.10.30,1356499,54624,16675,32206,3089
前任总裁阴阳怪气！时装评论人实名开怼！祝他成功吧！深度解析「GUCCI 古驰 2024春夏女装秀场」,AHALOLO,江苏,GUCCI女装风格大变背后的原因是什么,https://b23.tv/BV1rw411F7HJ,2023.10.30,574895,20579,2185,8482,500
我用了太长的时间，终于把宫崎骏和国漫这条最恶毒的谣言辟谣了,哎呀老付,北京,揭穿长达10年的谣言,https://b23.tv/BV1KB4y1Z7jm,2023.10.23,3462859,451458,115900,279123,10607
干！,小潮院长,上海,《是男人就上一百层》重新归来！中不中？,https://b23.tv/BV1Kj411e7Ee,2023.10.23,17433371,563273,206792,234961,11400
【重返未来1999 | 独立原创动画】万物理论 - 𝐓𝐡𝐞 𝐓𝐡𝐞𝐨𝐫𝐲 𝐎𝐟 𝐄𝐯𝐞𝐫𝐲𝐭𝐡𝐢𝐧𝐠【VIV】,___viv___,美国,震撼厨力！完美的重返1999二创作品,https://b23.tv/BV1BN411x74s,2023.10.23,3434795,438627,245300,260645,51884
没流量，没爱情，也能拍好国产剧！【繁城之下】,三代鹿人,天津,《繁城之下》是怎么获得高达8.6评分的？,https://b23.tv/BV1n34y1u7QG,2023.10.23,3969640,224204,51552,111721,25070
小米14性能分析：骁龙8Gen3到底有多强？,极客湾Geekerwan,上海,小米新机测评公开！这次都做了哪些提升？,https://b23.tv/BV1me411R7Ha,2023.10.23,4588960,194631,25475,89667,65135
《史记》原文全解读！二十四史之首，竟然如此好看？【你的第一本史记视频书 | HISTORY】,木鱼水心,北京,木鱼开新坑啦，《史记》的有趣超乎你想象,https://b23.tv/BV1cM41197ui,2023.10.23,9747489,1156693,572495,1227357,80309
【英雄联盟】心之钢 - 《妄想》,英雄联盟,上海,心之钢出道单曲来了！,https://b23.tv/BV1wj411i7MA,2023.10.23,6422045,189740,95553,90614,87857
真的，每一帧都是热爱,三拾视频,四川,好美的祖国风光,https://b23.tv/BV1EN4y1C7DF,2023.10.23,6066825,722652,169694,316583,6045
《明日方舟：终末地》技术测试PV,明日方舟终末地,上海,终于等到！《明日方舟：终末地》PV发布,https://b23.tv/BV1ph4y1i7Ua,2023.10.23,4450230,249169,49990,107859,136969
【自制动画】《黄金铃》确实是帅的！！嘿嘿,旋风博文,北京,精品自制动画,https://b23.tv/BV1oj411v7yq,2023.10.23,4184001,686469,205905,148482,14797
在学校唱《谁是我的新郎》被校领导追杀,樱萍Apple,广东,省流：i人地狱,https://b23.tv/BV1N84y1o79p,2023.10.23,5566271,304729,18600,31698,26275
《崩坏：星穹铁道》千星纪游PV：「星际和平导览：甄选、规划和机遇」,崩坏星穹铁道,上海,加入星际和平公司，迎接美好生活！,https://b23.tv/BV1ny4y1P7SN,2023.10.23,3135639,243032,36350,58355,32898
超级搜索技术，普通人变强的唯一外挂 | 全套宝藏实操秘技,檀东东Tango,浙江,一个视频教你提高信息检索能力,https://b23.tv/BV1yw411F7J1,2023.10.23,1992543,204758,450215,174265,44940
